Dep,Nom Ville,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre d agents cynophiles,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année
nan,SAINT ANDRE DE BAGE,0,0,0,0,0,01,01SAINT ANDRE DE BAGE,1332,2016
nan,SAINT ANDRE DE CORCY,1,0,0,0,0,01,01SAINT ANDRE DE CORCY,1333,2016
nan,SAINT BERNARD,0,0,2,0,0,01,01SAINT BERNARD,1339,2016
nan,SAINT CYR SUR MENTHON,0,0,1,0,0,01,01SAINT CYR SUR MENTHON,1343,2016
nan,SAINT DENIS EN BUGEY,1,0,0,0,0,01,01SAINT DENIS EN BUGEY,1345,2016
nan,SAINT DENIS LES BOURG,1,0,0,0,0,01,01SAINT DENIS LES BOURG,1344,2016
nan,SAINT DIDIER SUR CHALARONNE,1,0,0,0,0,01,01SAINT DIDIER SUR CHALARONNE,1348,2016
nan,SAINT ETIENNE DU BOIS,0,0,1,0,0,01,01SAINT ETIENNE DU BOIS,1350,2016
nan,SAINT ETIENNE SUR REYSSOUZE,0,0,1,0,0,01,01SAINT ETIENNE SUR REYSSOUZE,1352,2016
nan,SAINT GENIS POUILLY,3,1,0,0,0,01,01SAINT GENIS POUILLY,1354,2016
nan,SAINT JEAN LE VIEUX,1,0,0,0,0,01,01SAINT JEAN LE VIEUX,1363,2016
nan,SAINT LAURENT SUR SAONE,1,0,0,0,0,01,01SAINT LAURENT SUR SAONE,1370,2016
nan,SAINT MAURICE DE BEYNOST,3,0,0,0,0,01,01SAINT MAURICE DE BEYNOST,1376,2016
nan,SAINT MAURICE DE GOURDANS,0,0,1,0,0,01,01SAINT MAURICE DE GOURDANS,1378,2016
nan,SAINT RAMBERT EN BUGEY,0,1,0,0,0,01,01SAINT RAMBERT EN BUGEY,1384,2016
nan,SAINT TRIVIER DE COURTES,0,1,0,0,0,01,01SAINT TRIVIER DE COURTES,1388,2016
nan,SAINTE EUPHEMIE,0,0,1,0,0,01,01SAINTE EUPHEMIE,1353,2016
nan,SEYSSEL,0,2,0,0,0,01,01SEYSSEL,1407,2016
nan,TENAY,0,0,1,0,0,01,01TENAY,1416,2016
nan,THOIRY,2,0,0,0,0,01,01THOIRY,1419,2016
nan,THOISSEY,0,1,0,0,0,01,01THOISSEY,1420,2016
nan,TREVOUX,1,2,0,0,0,01,01TREVOUX,1427,2016
nan,VESANCY,0,0,0,0,0,01,01VESANCY,1436,2016
nan,VESINES,0,0,0,0,0,01,01VESINES,1439,2016
nan,VIEU D IZENAVE,0,0,1,0,0,01,01VIEU D IZENAVE,1441,2016
nan,VILLARS LES DOMBES,2,0,0,0,0,01,01VILLARS LES DOMBES,1443,2016
nan,VILLEBOIS,0,0,1,0,0,01,01VILLEBOIS,1444,2016
nan,VILLIEU LOYES MOLLON,1,0,0,0,0,01,01VILLIEU LOYES MOLLON,1450,2016
nan,VIRIAT,1,0,0,0,0,01,01VIRIAT,1451,2016
nan,VONNAS,0,0,1,0,0,01,01VONNAS,1457,2016
Aisne (02),BEAUTOR,0,0,1,0,0,02,02BEAUTOR,2059,2016
Laon,BELLEU,0,0,1,0,0,02,02BELLEU,2064,2016
nan,CHATEAU THIERRY,0,2,1,0,0,02,02CHATEAU THIERRY,2168,2016
nan,CHARLY SUR MARNE,0,1,0,0,0,02,02CHARLY SUR MARNE,2163,2016
nan,BOHAIN EN VERMANDOIS,2,0,0,0,0,02,02BOHAIN EN VERMANDOIS,2095,2016
nan,CHAUNY,3,2,0,0,0,02,02CHAUNY,2173,2016
nan,FERE EN TARDENOIS,0,1,0,0,0,02,02FERE EN TARDENOIS,2305,2016
nan,FIEULAINE,0,0,1,0,0,02,02FIEULAINE,2310,2016
nan,FLAVY LE MARTEL,0,0,1,0,0,02,02FLAVY LE MARTEL,2315,2016
nan,GAUCHY,2,1,0,0,0,02,02GAUCHY,2340,2016
nan,GUISE,3,0,0,0,0,02,02GUISE,2361,2016
nan,FERE,0,0,1,0,0,02,02FERE,2304,2016
nan,FERTE MILON,0,0,1,0,0,02,02FERTE MILON,2307,2016
nan,LAON,5,0,0,0,0,02,02LAON,2408,2016
nan,MARLE,1,0,0,0,0,02,02MARLE,2468,2016
nan,OULCHY LE CHATEAU,0,0,1,0,0,02,02OULCHY LE CHATEAU,2580,2016
nan,PINON,0,1,0,0,0,02,02PINON,2602,2016
nan,SAINT QUENTIN,28,9,0,0,0,02,02SAINT QUENTIN,2691,2016
nan,SOISSONS,6,8,0,0,0,02,02SOISSONS,2722,2016
nan,VILLENEUVE SAINT GERMAIN,0,3,0,0,0,02,02VILLENEUVE SAINT GERMAIN,2805,2016
nan,VIRY NOUREUIL,1,0,0,0,0,02,02VIRY NOUREUIL,2820,2016
nan,VAILLY SUR AISNE,0,3,0,0,0,02,02VAILLY SUR AISNE,2758,2016
Allier (03),ABREST,1,0,0,0,0,03,03ABREST,3001,2016
Moulins,AINAY LE CHATEAU,0,0,1,0,0,03,03AINAY LE CHATEAU,3003,2016
nan,AVERMES,2,0,0,0,0,03,03AVERMES,3013,2016
nan,BELLERIVE SUR ALLIER,4,1,0,0,0,03,03BELLERIVE SUR ALLIER,3023,2016
nan,BOURBON L ARCHAMBAULT,1,0,0,0,0,03,03BOURBON L ARCHAMBAULT,3036,2016
nan,COMMENTRY,2,0,0,0,0,03,03COMMENTRY,3082,2016
nan,COSNE D ALLIER,1,0,0,0,0,03,03COSNE D ALLIER,3084,2016
nan,CUSSET,3,1,0,0,0,03,03CUSSET,3095,2016
nan,DOMERAT,0,0,1,0,0,03,03DOMERAT,3101,2016
nan,GANNAT,3,0,0,0,0,03,03GANNAT,3118,2016
