Dep,Nom Ville,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année,Nombre d habitants,Nom Département
nan,VILLARS LES DOMBES,2,0.0,0,0,01,01VILLARS LES DOMBES,1443,2016,0.0,0
nan,VILLIEU LOYES MOLLON,1,0.0,0,0,01,01VILLIEU LOYES MOLLON,1450,2016,0.0,0
nan,VIRIAT,1,0.0,0,0,01,01VIRIAT,1451,2016,0.0,0
nan,VONNAS,0,0.0,1,0,01,01VONNAS,1457,2016,0.0,0
Aisne (02),BEAUTOR,0,0.0,1,0,02,02BEAUTOR,2059,2016,0.0,0
Laon,BELLEU,0,0.0,1,0,02,02BELLEU,2064,2016,0.0,0
nan,CHATEAU THIERRY,0,2.0,1,0,02,02CHATEAU THIERRY,2168,2016,0.0,0
nan,CHARLY SUR MARNE,0,1.0,0,0,02,02CHARLY SUR MARNE,2163,2016,0.0,0
nan,BOHAIN EN VERMANDOIS,2,0.0,0,0,02,02BOHAIN EN VERMANDOIS,2095,2016,0.0,0
nan,FERE EN TARDENOIS,0,1.0,0,0,02,02FERE EN TARDENOIS,2305,2016,0.0,0
nan,FLAVY LE MARTEL,0,0.0,1,0,02,02FLAVY LE MARTEL,2315,2016,0.0,0
nan,GAUCHY,2,1.0,0,0,02,02GAUCHY,2340,2016,0.0,0
nan,GUISE,3,0.0,0,0,02,02GUISE,2361,2016,0.0,0
nan,FERE,0,0.0,1,0,02,02FERE,2304,2016,0.0,0
nan,FERTE MILON,0,0.0,1,0,02,02FERTE MILON,2307,2016,0.0,0
nan,LAON,5,0.0,0,0,02,02LAON,2408,2016,0.0,0
nan,MARLE,1,0.0,0,0,02,02MARLE,2468,2016,0.0,0
nan,OULCHY LE CHATEAU,0,0.0,1,0,02,02OULCHY LE CHATEAU,2580,2016,0.0,0
nan,PINON,0,1.0,0,0,02,02PINON,2602,2016,0.0,0
nan,SAINT QUENTIN,28,9.0,0,0,02,02SAINT QUENTIN,2691,2016,0.0,0
nan,SOISSONS,6,8.0,0,0,02,02SOISSONS,2722,2016,0.0,0
nan,VIRY NOUREUIL,1,0.0,0,0,02,02VIRY NOUREUIL,2820,2016,0.0,0
Allier (03),ABREST,1,0.0,0,0,03,03ABREST,3001,2016,0.0,0
Moulins,AINAY LE CHATEAU,0,0.0,1,0,03,03AINAY LE CHATEAU,3003,2016,0.0,0
nan,AVERMES,2,0.0,0,0,03,03AVERMES,3013,2016,0.0,0
nan,BELLERIVE SUR ALLIER,4,1.0,0,0,03,03BELLERIVE SUR ALLIER,3023,2016,0.0,0
nan,BOURBON L ARCHAMBAULT,1,0.0,0,0,03,03BOURBON L ARCHAMBAULT,3036,2016,0.0,0
nan,COMMENTRY,2,0.0,0,0,03,03COMMENTRY,3082,2016,0.0,0
nan,COSNE D ALLIER,1,0.0,0,0,03,03COSNE D ALLIER,3084,2016,0.0,0
nan,CUSSET,3,1.0,0,0,03,03CUSSET,3095,2016,0.0,0
nan,DOMERAT,0,0.0,1,0,03,03DOMERAT,3101,2016,0.0,0
nan,GANNAT,3,0.0,0,0,03,03GANNAT,3118,2016,0.0,0
nan,LAPALISSE,0,0.0,1,0,03,03LAPALISSE,3138,2016,0.0,0
nan,LAVAULT SAINTE ANNE,0,0.0,1,0,03,03LAVAULT SAINTE ANNE,3140,2016,0.0,0
nan,MAYET DE MONTAGNE,1,0.0,0,0,03,03MAYET DE MONTAGNE,3165,2016,0.0,0
nan,MALICORNE,0,0.0,1,0,03,03MALICORNE,3159,2016,0.0,0
nan,MOULINS,5,3.0,0,0,03,03MOULINS,3190,2016,0.0,0
nan,MONTLUCON,0,4.0,0,0,03,03MONTLUCON,3185,2016,0.0,0
nan,NERIS LES BAINS,1,0.0,0,0,03,03NERIS LES BAINS,3195,2016,0.0,0
nan,SAINT GERMAIN DES FOSSES,2,0.0,0,0,03,03SAINT GERMAIN DES FOSSES,3236,2016,0.0,0
nan,YZEURE,4,3.0,0,0,03,03YZEURE,3321,2016,0.0,0
Alpes-de-Haute-Provence (04),ALLOS,3,1.0,0,0,04,04ALLOS,4006,2016,0.0,0
Digne,BARCELONNETTE,1,1.0,0,0,04,04BARCELONNETTE,4019,2016,0.0,0
nan,CASTELLANE,2,0.0,0,0,04,04CASTELLANE,4039,2016,0.0,0
nan,CURBANS,1,0.0,0,0,04,04CURBANS,4066,2016,0.0,0
nan,DIGNE LES BAINS,6,2.0,0,0,04,04DIGNE LES BAINS,4070,2016,0.0,0
nan,ENCHASTRAYES,0,1.0,0,0,04,04ENCHASTRAYES,4073,2016,0.0,0
nan,ESPARRON DE VERDON,0,1.0,0,0,04,04ESPARRON DE VERDON,4081,2016,0.0,0
nan,FORCALQUIER,4,1.0,0,0,04,04FORCALQUIER,4088,2016,0.0,0
nan,GREOUX LES BAINS,4,1.0,0,0,04,04GREOUX LES BAINS,4094,2016,0.0,0
nan,JAUSIERS,0,1.0,0,0,04,04JAUSIERS,4096,2016,0.0,0
nan,MEES,1,0.0,0,0,04,04MEES,4116,2016,0.0,0
nan,MALIJAI,0,1.0,0,0,04,04MALIJAI,4108,2016,0.0,0
nan,MANOSQUE,21,7.0,0,0,04,04MANOSQUE,4112,2016,0.0,0
nan,MOUSTIERS SAINTE MARIE,0,1.0,1,0,04,04MOUSTIERS SAINTE MARIE,4135,2016,0.0,0
nan,ORAISON,3,1.0,0,0,04,04ORAISON,4143,2016,0.0,0
nan,PEYRUIS,1,0.0,1,0,04,04PEYRUIS,4149,2016,0.0,0
