CODGEO,Année,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,somme_ligne
1427,2018,6849.0,1,2.0,0,0,3.0
1443,2017,4460.0,2,0.0,0,0,2.0
1443,2018,4628.0,2,0.0,0,0,2.0
1450,2017,3507.0,1,0.0,0,0,1.0
1450,2018,3586.0,1,0.0,0,0,1.0
1451,2017,6281.0,1,0.0,0,0,1.0
1451,2018,6350.0,1,0.0,0,0,1.0
1457,2017,2799.0,0,0.0,1,0,1.0
1457,2018,2929.0,0,0.0,1,0,1.0
2059,2017,2965.0,0,0.0,1,0,1.0
2059,2018,2700.0,0,0.0,1,0,1.0
2064,2017,3780.0,0,0.0,1,0,1.0
2064,2018,3820.0,2,0.0,0,0,2.0
2095,2017,5670.0,2,0.0,0,0,2.0
2095,2018,5792.0,2,0.0,0,0,2.0
2163,2017,2657.0,0,2.0,1,0,3.0
2163,2018,2680.0,0,1.0,0,0,1.0
2168,2017,14602.0,0,2.0,1,0,3.0
2168,2018,15262.0,1,1.0,1,0,3.0
2304,2017,2854.0,0,0.0,1,0,1.0
2304,2018,3000.0,0,0.0,1,0,1.0
2305,2017,3143.0,0,1.0,0,0,1.0
2305,2018,3153.0,0,1.0,0,0,1.0
2307,2017,2123.0,0,0.0,1,0,1.0
2307,2018,2258.0,0,0.0,0,0,0.0
2315,2017,1676.0,0,0.0,1,0,1.0
2315,2018,1713.0,0,0.0,1,0,1.0
2340,2017,5335.0,2,1.0,0,0,3.0
2340,2018,5343.0,2,1.0,0,0,3.0
2361,2017,4919.0,3,0.0,0,0,3.0
2361,2018,5000.0,3,0.0,0,0,3.0
2408,2017,25358.0,5,0.0,0,0,5.0
2408,2018,26031.0,4,2.0,0,0,6.0
2468,2017,2281.0,1,0.0,0,0,1.0
2468,2018,2281.0,1,0.0,0,0,1.0
2580,2017,832.0,0,0.0,1,0,1.0
2580,2018,841.0,0,0.0,1,0,1.0
2602,2017,1767.0,0,1.0,0,0,1.0
2602,2018,1787.0,0,1.0,0,0,1.0
2691,2017,55649.0,31,9.0,0,0,40.0
2691,2018,55840.0,31,6.0,0,0,37.0
2722,2017,28410.0,8,8.0,0,0,16.0
2722,2018,30000.0,11,8.0,0,0,19.0
2820,2017,1713.0,1,0.0,0,0,1.0
2820,2018,1745.0,1,0.0,0,0,1.0
3001,2017,2973.0,1,0.0,0,0,1.0
3001,2018,2991.0,1,0.0,0,0,1.0
3003,2017,1040.0,0,0.0,1,0,1.0
3003,2018,1028.0,0,0.0,1,0,1.0
3013,2017,4045.0,2,0.0,0,0,2.0
3013,2018,4057.0,2,0.0,0,0,2.0
3023,2017,8861.0,4,0.0,0,0,4.0
3023,2018,8857.0,4,0.0,0,0,4.0
3036,2017,2616.0,1,0.0,0,0,1.0
3036,2018,2619.0,1,0.0,0,0,1.0
3082,2017,6522.0,3,0.0,0,0,3.0
3082,2018,6448.0,3,0.0,0,0,3.0
3084,2017,2086.0,1,0.0,0,0,1.0
3084,2018,2082.0,1,0.0,0,0,1.0
3095,2017,13453.0,3,1.0,0,0,4.0
3095,2018,13290.0,4,1.0,0,0,5.0
3101,2017,9132.0,0,0.0,1,0,1.0
3101,2018,8992.0,0,0.0,1,0,1.0
3118,2017,6050.0,3,0.0,0,0,3.0
3118,2018,6048.0,3,0.0,0,0,3.0
3138,2017,3178.0,0,0.0,1,0,1.0
3138,2018,3191.0,0,0.0,1,0,1.0
3140,2017,1194.0,0,0.0,1,0,1.0
3140,2018,1203.0,0,0.0,1,0,1.0
3159,2017,827.0,0,0.0,1,0,1.0
3159,2018,820.0,0,0.0,1,0,1.0
3165,2017,1471.0,1,0.0,0,0,1.0
3165,2018,1466.0,1,0.0,0,0,1.0
3185,2017,38247.0,0,4.0,0,0,4.0
3185,2018,37417.0,0,4.0,0,0,4.0
3190,2017,19697.0,5,3.0,0,0,8.0
3190,2018,20321.0,5,3.0,0,0,8.0
3195,2017,2750.0,1,0.0,0,0,1.0
3195,2018,2697.0,1,0.0,0,0,1.0
3236,2017,3819.0,2,0.0,0,0,2.0
3236,2018,3774.0,2,0.0,0,0,2.0
3321,2017,13087.0,4,3.0,0,0,7.0
3321,2018,13787.0,4,3.0,0,0,7.0
4006,2017,650.0,3,1.0,0,0,4.0
4006,2018,639.0,3,2.0,0,0,5.0
4019,2017,2794.0,1,1.0,0,0,2.0
4019,2018,2698.0,1,1.0,0,0,2.0
4039,2017,1578.0,3,2.0,0,0,5.0
4039,2018,1541.0,3,2.0,0,0,5.0
4066,2017,527.0,1,0.0,0,0,1.0
4066,2018,512.0,1,0.0,0,0,1.0
4070,2017,17133.0,6,2.0,0,0,8.0
4070,2018,16304.0,7,2.0,0,0,9.0
4073,2017,405.0,0,2.0,0,0,2.0
4073,2018,390.0,0,1.0,0,0,1.0
4081,2017,430.0,0,1.0,0,0,1.0
4081,2018,422.0,0,1.0,0,0,1.0
4088,2017,5010.0,3,1.0,0,0,4.0
4088,2018,4910.0,3,1.0,0,0,4.0
4094,2017,2690.0,4,1.0,0,0,5.0
4094,2018,2645.0,4,1.0,0,0,5.0
4096,2017,1168.0,0,1.0,0,0,1.0
4096,2018,1134.0,0,1.0,0,0,1.0
4108,2017,2021.0,0,1.0,0,0,1.0
4108,2018,1990.0,0,1.0,0,0,1.0
4112,2017,22666.0,17,7.0,0,2,26.0
4112,2018,21241.0,21,7.0,0,2,30.0
4116,2017,3679.0,1,0.0,0,0,1.0
4116,2018,3629.0,1,1.0,0,0,2.0
4135,2017,707.0,0,1.0,1,0,2.0
4135,2018,688.0,1,1.0,1,0,3.0
4143,2017,5876.0,3,1.0,0,0,4.0
4143,2018,5792.0,3,1.0,0,0,4.0
4149,2017,2874.0,1,0.0,1,0,2.0
4149,2018,2829.0,1,0.0,1,0,2.0
4152,2017,3819.0,3,0.0,0,0,3.0
4152,2018,3690.0,3,0.0,0,0,3.0
4166,2017,1851.0,1,5.0,0,0,6.0
4166,2018,1825.0,1,6.0,0,0,7.0
4226,2017,596.0,1,1.0,0,0,2.0
4226,2018,582.0,1,1.0,0,0,2.0
4230,2017,3264.0,1,0.0,0,0,1.0
4230,2018,3206.0,1,0.0,0,0,1.0
4242,2017,4174.0,2,1.0,0,0,3.0
4242,2018,4048.0,2,1.0,0,0,3.0
4245,2017,3213.0,1,0.0,0,0,1.0
4245,2018,3134.0,1,0.0,0,0,1.0
5006,2017,2379.0,0,1.0,0,0,1.0
5006,2018,2293.0,0,1.0,0,0,1.0
5012,2017,568.0,0,1.0,0,0,1.0
5012,2018,593.0,0,1.0,0,0,1.0
5023,2017,12694.0,8,4.0,0,0,12.0
5023,2018,11950.0,8,4.0,0,0,12.0
5046,2017,6602.0,2,2.0,0,0,4.0
5046,2018,6174.0,2,4.0,0,0,6.0
5061,2017,42592.0,17,7.0,0,0,24.0
5061,2018,40805.0,15,6.0,0,0,21.0
5065,2017,2388.0,0,2.0,0,0,2.0
5065,2018,2314.0,0,1.0,0,0,1.0
5070,2017,3559.0,1,1.0,0,0,2.0
5070,2018,3485.0,1,1.0,0,0,2.0
5079,2017,1046.0,0,2.0,0,0,2.0
5079,2018,1040.0,2,1.0,0,0,3.0
5085,2017,527.0,0,6.0,0,0,6.0
5085,2018,483.0,0,4.0,0,0,4.0
5098,2017,575.0,1,5.0,0,0,6.0
5098,2018,575.0,1,4.0,0,0,5.0
5106,2017,310.0,0,0.0,1,0,1.0
5106,2018,298.0,0,0.0,1,0,1.0
5110,2017,288.0,0,7.0,0,0,7.0
5110,2018,284.0,0,5.0,0,0,5.0
5119,2017,669.0,0,6.0,0,0,6.0
5119,2018,641.0,0,6.0,0,0,6.0
5128,2017,661.0,0,0.0,1,0,1.0
5128,2018,646.0,0,0.0,1,0,1.0
5132,2017,2101.0,0,1.0,0,0,1.0
5132,2018,2025.0,0,1.0,0,0,1.0
5133,2017,1709.0,2,2.0,1,0,5.0
5133,2018,1635.0,2,3.0,0,0,5.0
5139,2017,1027.0,0,2.0,0,0,2.0
5139,2018,990.0,0,2.0,0,0,2.0
5161,2017,1031.0,2,2.0,0,0,4.0
5161,2018,1012.0,2,2.0,0,0,4.0
