Dep,Nom Ville,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de maîtres chiens de police municipale,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année
nan,PONT DE VAUX,2296,1,0,0,0,0,01,01PONT DE VAUX,1305,2017
nan,PONT DE VEYLE,1592,0,1,0,0,0,01,01PONT DE VEYLE,1306,2017
nan,PREVESSIN MOENS,7860,3,0,0,0,0,01,01PREVESSIN MOENS,1313,2017
nan,REPLONGES,3673,0,0,0,0,0,01,01REPLONGES,1320,2017
nan,REYRIEUX,4544,2,0,0,0,0,01,01REYRIEUX,1322,2017
nan,SAINT ANDRE DE BAGE,748,0,0,0,0,0,01,01SAINT ANDRE DE BAGE,1332,2017
nan,SAINT ANDRE DE CORCY,3129,1,0,0,0,0,01,01SAINT ANDRE DE CORCY,1333,2017
nan,SAINT BERNARD,1414,0,0,1,0,0,01,01SAINT BERNARD,1339,2017
nan,SAINT DENIS EN BUGEY,2293,1,0,0,0,0,01,01SAINT DENIS EN BUGEY,1345,2017
nan,SAINT DENIS LES BOURG,5530,1,0,0,0,0,01,01SAINT DENIS LES BOURG,1344,2017
nan,SAINT DIDIER SUR CHALARONNE,2787,1,0,0,0,0,01,01SAINT DIDIER SUR CHALARONNE,1348,2017
nan,SAINT ETIENNE DU BOIS,2481,0,0,1,0,0,01,01SAINT ETIENNE DU BOIS,1350,2017
nan,SAINT GENIS POUILLY,10824,2,1,0,0,0,01,01SAINT GENIS POUILLY,1354,2017
nan,SAINT JEAN LE VIEUX,1663,1,0,0,0,0,01,01SAINT JEAN LE VIEUX,1363,2017
nan,SAINT JUST,917,0,0,1,0,0,01,01SAINT JUST,1369,2017
nan,SAINT LAURENT SUR SAONE,1787,2,0,0,0,0,01,01SAINT LAURENT SUR SAONE,1370,2017
nan,SAINT MARCEL,1232,0,0,1,0,0,01,01SAINT MARCEL,1371,2017
nan,SAINT MAURICE DE BEYNOST,3963,3,0,0,0,0,01,01SAINT MAURICE DE BEYNOST,1376,2017
nan,SAINT RAMBERT EN BUGEY,2311,0,2,0,0,0,01,01SAINT RAMBERT EN BUGEY,1384,2017
nan,SAINT TRIVIER DE COURTES,1097,0,1,0,0,0,01,01SAINT TRIVIER DE COURTES,1388,2017
nan,SAULT BRENAZ,1059,0,0,1,0,0,01,01SAULT BRENAZ,1396,2017
nan,SEYSSEL,990,0,2,0,0,0,01,01SEYSSEL,1407,2017
nan,THOIRY,6161,2,0,0,0,0,01,01THOIRY,1419,2017
nan,THOISSEY,1712,0,1,0,0,0,01,01THOISSEY,1420,2017
nan,TRAMOYES,1674,1,0,0,0,0,01,01TRAMOYES,1424,2017
nan,TREVOUX,6768,1,2,0,0,0,01,01TREVOUX,1427,2017
nan,VERSONNEX,2145,0,0,1,0,0,01,01VERSONNEX,1435,2017
nan,VESANCY,502,0,0,0,0,0,01,01VESANCY,1436,2017
nan,VESINES,100,0,0,0,0,0,01,01VESINES,1439,2017
nan,VILLARS LES DOMBES,4460,2,0,0,0,0,01,01VILLARS LES DOMBES,1443,2017
nan,VILLES,354,0,0,0,0,0,01,01VILLES,1448,2017
nan,VILLIEU LOYES MOLLON,3507,1,0,0,0,0,01,01VILLIEU LOYES MOLLON,1450,2017
nan,VIRIAT,6281,1,0,0,0,0,01,01VIRIAT,1451,2017
nan,VONNAS,2799,0,0,1,0,0,01,01VONNAS,1457,2017
Aisne (02),BEAUTOR,2965,0,0,1,0,0,02,02BEAUTOR,2059,2017
Laon,BELLEU,3780,0,0,1,0,0,02,02BELLEU,2064,2017
nan,BOHAIN EN VERMANDOIS,5670,2,0,0,0,0,02,02BOHAIN EN VERMANDOIS,2095,2017
nan,BRAINE,2249,0,1,0,0,0,02,02BRAINE,2110,2017
nan,CHARLY SUR MARNE,2657,0,2,1,0,0,02,02CHARLY SUR MARNE,2163,2017
nan,CHATEAU THIERRY,14602,0,2,1,0,0,02,02CHATEAU THIERRY,2168,2017
nan,CHAUNY,11831,4,2,0,0,0,02,02CHAUNY,2173,2017
nan,FERE EN TARDENOIS,3143,0,1,0,0,0,02,02FERE EN TARDENOIS,2305,2017
nan,FIEULAINE,270,0,0,1,0,0,02,02FIEULAINE,2310,2017
nan,FLAVY LE MARTEL,1676,0,0,1,0,0,02,02FLAVY LE MARTEL,2315,2017
nan,GAUCHY,5335,2,1,0,0,0,02,02GAUCHY,2340,2017
nan,GUISE,4919,3,0,0,0,0,02,02GUISE,2361,2017
nan,FERE,2854,0,0,1,0,0,02,02FERE,2304,2017
nan,FERTE MILON,2123,0,0,1,0,0,02,02FERTE MILON,2307,2017
nan,LAON,25358,5,0,0,0,0,02,02LAON,2408,2017
nan,MARLE,2281,1,0,0,0,0,02,02MARLE,2468,2017
nan,OULCHY LE CHATEAU,832,0,0,1,0,0,02,02OULCHY LE CHATEAU,2580,2017
nan,PINON,1767,0,1,0,0,0,02,02PINON,2602,2017
nan,SAINT QUENTIN,55649,31,9,0,0,0,02,02SAINT QUENTIN,2691,2017
nan,SOISSONS,28410,8,8,0,0,0,02,02SOISSONS,2722,2017
nan,VAILLY SUR AISNE,2005,0,3,0,0,0,02,02VAILLY SUR AISNE,2758,2017
nan,VILLENEUVE SAINT GERMAIN,2519,0,3,0,0,0,02,02VILLENEUVE SAINT GERMAIN,2805,2017
nan,VILLERS COTTERETS,10951,8,0,0,0,0,02,02VILLERS COTTERETS,2810,2017
nan,VIRY NOUREUIL,1713,1,0,0,0,0,02,02VIRY NOUREUIL,2820,2017
Allier (03),ABREST,2973,1,0,0,0,0,03,03ABREST,3001,2017
Moulins,AINAY LE CHATEAU,1040,0,0,1,0,0,03,03AINAY LE CHATEAU,3003,2017
nan,AVERMES,4045,2,0,0,0,0,03,03AVERMES,3013,2017
nan,BELLERIVE SUR ALLIER,8861,4,0,0,0,0,03,03BELLERIVE SUR ALLIER,3023,2017
nan,BOURBON L ARCHAMBAULT,2616,1,0,0,0,0,03,03BOURBON L ARCHAMBAULT,3036,2017
nan,COMMENTRY,6522,3,0,0,0,0,03,03COMMENTRY,3082,2017
nan,COSNE D ALLIER,2086,1,0,0,0,0,03,03COSNE D ALLIER,3084,2017
nan,CUSSET,13453,3,1,0,0,0,03,03CUSSET,3095,2017
nan,DOMERAT,9132,0,0,1,0,0,03,03DOMERAT,3101,2017
nan,GANNAT,6050,3,0,0,0,0,03,03GANNAT,3118,2017
nan,LAPALISSE,3178,0,1*,1,0,0,03,03LAPALISSE,3138,2017
nan,LAVAULT SAINTE ANNE,1194,0,0,1,0,0,03,03LAVAULT SAINTE ANNE,3140,2017
nan,MAYET DE MONTAGNE,1471,1,0,0,0,0,03,03MAYET DE MONTAGNE,3165,2017
nan,MALICORNE,827,0,0,1,0,0,03,03MALICORNE,3159,2017
nan,MOULINS,19697,5,3,0,0,0,03,03MOULINS,3190,2017
nan,MONTLUCON,38247,0,4,0,0,0,03,03MONTLUCON,3185,2017
nan,NERIS LES BAINS,2750,1,0,0,0,0,03,03NERIS LES BAINS,3195,2017
nan,SAINT GERMAIN DES FOSSES,3819,2,0,0,0,0,03,03SAINT GERMAIN DES FOSSES,3236,2017
nan,SAINT POURCAIN SUR SIOULE,5220,4,1,0,0,0,03,03SAINT POURCAIN SUR SIOULE,3254,2017
nan,SAINT YORRE,2772,1,0,0,0,0,03,03SAINT YORRE,3264,2017
nan,TOULON SUR ALLIER,1167,1,0,0,0,0,03,03TOULON SUR ALLIER,3286,2017
nan,VARENNES SUR ALLIER,3634,0,1,0,0,0,03,03VARENNES SUR ALLIER,3298,2017
nan,VICHY,25502,21,8,0,4,2,03,03VICHY,3310,2017
nan,YZEURE,13087,4,3,0,0,0,03,03YZEURE,3321,2017
Alpes-de-Haute-Provence (04),ALLOS,650,3,1,0,0,0,04,04ALLOS,4006,2017
Digne,BARCELONNETTE,2794,1,1,0,0,0,04,04BARCELONNETTE,4019,2017
nan,CASTELLANE,1578,3,2,0,0,0,04,04CASTELLANE,4039,2017
nan,CURBANS,527,1,0,0,0,0,04,04CURBANS,4066,2017
nan,DIGNE LES BAINS,17133,6,2,0,0,0,04,04DIGNE LES BAINS,4070,2017
nan,ENCHASTRAYES,405,0,2,0,0,0,04,04ENCHASTRAYES,4073,2017
nan,ESPARRON DE VERDON,430,0,1,0,0,0,04,04ESPARRON DE VERDON,4081,2017
nan,FORCALQUIER,5010,3,1,0,0,0,04,04FORCALQUIER,4088,2017
nan,GREOUX LES BAINS,2690,4,1,0,0,0,04,04GREOUX LES BAINS,4094,2017
nan,JAUSIERS,1168,0,1,0,0,0,04,04JAUSIERS,4096,2017
nan,MEES,3679,1,0,0,0,0,04,04MEES,4116,2017
nan,MALIJAI,2021,0,1,0,0,0,04,04MALIJAI,4108,2017
nan,MANOSQUE,22666,17,7,0,2,2,04,04MANOSQUE,4112,2017
nan,MOUSTIERS SAINTE MARIE,707,0,1,1,0,0,04,04MOUSTIERS SAINTE MARIE,4135,2017
nan,ORAISON,5876,3,1,0,0,0,04,04ORAISON,4143,2017
nan,PEYRUIS,2874,1,0,1,0,0,04,04PEYRUIS,4149,2017
nan,PIERREVERT,3819,3,0,0,0,0,04,04PIERREVERT,4152,2017
nan,RIEZ,1851,1,5,0,0,0,04,04RIEZ,4166,2017
nan,SAINTE TULLE,3533,3,0,0,0,0,04,04SAINTE TULLE,4197,2017
nan,SISTERON,7582,5,2,0,0,0,04,04SISTERON,4209,2017
nan,UVERNET FOURS,596,1,1,0,0,0,04,04UVERNET FOURS,4226,2017
nan,VALENSOLE,3264,1,0,0,0,0,04,04VALENSOLE,4230,2017
nan,VILLENEUVE,4174,2,1,0,0,0,04,04VILLENEUVE,4242,2017
nan,VOLX,3213,1,0,0,0,0,04,04VOLX,4245,2017
Hautes-Alpes (05),BARATIER,568,0,1,0,0,0,05,05BARATIER,5012,2017
Gap,BRIANCON,12694,8,4,0,0,0,05,05BRIANCON,5023,2017
nan,CHORGES,2886,1,0,0,0,0,05,05CHORGES,5040,2017
nan,EMBRUN,6602,2,2,0,0,0,05,05EMBRUN,5046,2017
nan,GAP,42592,17,7,0,0,0,05,05GAP,5061,2017
nan,GUILLESTRE,2388,0,2,0,0,0,05,05GUILLESTRE,5065,2017
nan,SALLE LES ALPES,1031,2,2,0,0,0,05,05SALLE LES ALPES,5161,2017
nan,LARAGNE MONTEGLIN,3559,1,1,0,0,0,05,05LARAGNE MONTEGLIN,5070,2017
