CODGEO,Année,somme_ligne_effectifs,Nombre d habitants,CODGEO_2024,annee,somme_ligne_delits
46240,2018,4.0,638.0,46240,2018,0
4006,2018,5.0,639.0,4006,2018,47
1082,2017,1.0,640.0,1082,2017,0
5119,2018,6.0,641.0,5119,2018,111
31286,2017,1.0,642.0,31286,2017,0
9280,2018,1.0,645.0,9280,2018,0
5128,2018,1.0,646.0,5128,2018,0
4006,2017,4.0,650.0,4006,2017,47
73197,2017,2.0,650.0,73197,2017,10
46240,2017,4.0,651.0,46240,2017,0
31286,2018,1.0,652.0,31286,2018,0
9280,2017,1.0,654.0,9280,2017,0
45164,2018,1.0,654.0,45164,2018,0
45164,2017,1.0,655.0,45164,2017,0
79119,2017,1.0,657.0,79119,2017,0
79119,2018,1.0,657.0,79119,2018,0
5128,2017,1.0,661.0,5128,2017,0
5119,2017,6.0,669.0,5119,2017,152
38062,2017,1.0,672.0,38062,2017,0
4135,2018,3.0,688.0,4135,2018,58
38062,2018,1.0,695.0,38062,2018,0
6073,2017,1.0,695.0,6073,2017,77
6073,2018,1.0,697.0,6073,2018,92
83041,2017,2.0,702.0,83041,2017,0
83041,2018,2.0,702.0,83041,2018,0
31459,2018,1.0,703.0,31459,2018,0
4135,2017,2.0,707.0,4135,2017,49
11048,2017,1.0,728.0,11048,2017,0
33521,2018,1.0,730.0,33521,2018,6
33521,2017,1.0,730.0,33521,2017,5
31459,2017,1.0,730.0,31459,2017,0
89324,2018,1.0,733.0,89324,2018,0
77072,2017,1.0,742.0,77072,2017,0
77072,2018,0.0,742.0,77072,2018,0
8122,2017,1.0,746.0,8122,2017,0
40108,2017,1.0,747.0,40108,2017,0
62191,2018,1.0,749.0,62191,2018,0
73232,2017,1.0,752.0,73232,2017,0
62191,2017,1.0,753.0,62191,2017,0
73232,2018,1.0,755.0,73232,2018,0
8122,2018,1.0,760.0,8122,2018,0
89324,2017,1.0,760.0,89324,2017,0
73206,2017,1.0,780.0,73206,2017,14
33157,2017,1.0,782.0,33157,2017,0
73132,2018,4.0,788.0,73132,2018,36
33157,2018,1.0,795.0,33157,2018,0
17043,2017,1.0,795.0,17043,2017,0
1175,2017,1.0,796.0,1175,2017,0
1046,2017,1.0,798.0,1046,2017,0
40108,2018,1.0,799.0,40108,2018,0
26320,2018,1.0,804.0,26320,2018,16
26320,2017,1.0,804.0,26320,2017,14
17043,2018,1.0,808.0,17043,2018,0
77123,2018,3.0,809.0,77123,2018,27
77123,2017,2.0,809.0,77123,2017,22
14309,2017,1.0,817.0,14309,2017,0
41176,2017,1.0,819.0,41176,2017,0
3159,2018,1.0,820.0,3159,2018,0
73132,2017,6.0,822.0,73132,2017,49
66020,2017,1.0,827.0,66020,2017,22
3159,2017,1.0,827.0,3159,2017,0
66020,2018,1.0,827.0,66020,2018,26
2580,2017,1.0,832.0,2580,2017,0
14309,2018,1.0,833.0,14309,2018,0
85104,2017,1.0,838.0,85104,2017,6
85104,2018,1.0,841.0,85104,2018,7
2580,2018,1.0,841.0,2580,2018,0
29155,2018,1.0,842.0,29155,2018,0
45306,2018,1.0,842.0,45306,2018,0
80579,2017,1.0,845.0,80579,2017,0
29155,2017,1.0,846.0,29155,2017,0
80579,2018,1.0,847.0,80579,2018,0
31227,2017,1.0,850.0,31227,2017,0
39001,2017,1.0,851.0,39001,2017,0
